4 10
Video,Frame,Cell,Histogram
10,1,1,0#0#0#0#90#834#272#4#0#0#
10,1,2,0#0#0#14#96#987#89#9#5#0#
10,1,3,0#0#3#37#183#860#107#3#6#1#
10,1,4,0#0#0#0#141#927#127#5#0#0#
10,1,5,0#0#0#0#30#942#228#0#0#0#
10,1,6,0#1#5#44#155#766#183#38#8#0#
10,1,7,0#1#5#77#127#736#202#42#10#0#
10,1,8,0#0#0#0#15#973#212#0#0#0#
10,1,9,0#0#0#4#178#977#41#0#0#0#
10,1,10,0#18#104#93#179#776#30#0#0#0#
10,1,11,0#21#108#95#242#684#50#0#0#0#
10,1,12,0#0#0#2#196#945#57#0#0#0#
10,1,13,0#0#0#1#209#881#109#0#0#0#
10,1,14,0#16#55#60#410#617#35#5#2#0#
10,1,15,0#20#52#116#458#528#21#5#0#0#
10,1,16,0#0#0#0#310#832#57#1#0#0#
10,2,1,0#0#0#0#90#830#276#4#0#0#
10,2,2,0#0#0#14#96#987#89#9#5#0#
10,2,3,0#0#2#37#182#862#107#3#6#1#
10,2,4,0#0#0#0#141#927#127#5#0#0#
10,2,5,0#0#0#0#29#963#208#0#0#0#
10,2,6,0#1#5#36#162#805#148#36#7#0#
10,2,7,0#1#5#74#128#740#200#42#10#0#
10,2,8,0#0#0#0#15#973#212#0#0#0#
10,2,9,0#0#0#4#163#996#37#0#0#0#
10,2,10,0#18#104#93#162#795#28#0#0#0#
10,2,11,0#20#106#98#241#685#50#0#0#0#
10,2,12,0#0#0#2#196#946#56#0#0#0#
10,2,13,0#0#0#1#198#895#106#0#0#0#
10,2,14,0#16#55#60#411#617#34#5#2#0#
10,2,15,0#20#52#116#458#528#21#5#0#0#
10,2,16,0#0#0#0#268#890#41#1#0#0#
10,3,1,0#0#0#0#90#830#276#4#0#0#
10,3,2,0#0#0#14#96#987#89#9#5#0#
10,3,3,0#0#1#37#183#861#108#3#6#1#
10,3,4,0#0#0#0#141#927#127#5#0#0#
10,3,5,0#0#0#0#29#961#210#0#0#0#
10,3,6,0#1#5#34#164#794#158#37#7#0#
10,3,7,0#1#5#64#142#724#215#42#7#0#
10,3,8,0#0#0#0#15#973#212#0#0#0#
10,3,9,0#0#0#4#167#990#39#0#0#0#
10,3,10,0#18#104#93#160#798#27#0#0#0#
10,3,11,0#19#107#98#241#685#50#0#0#0#
10,3,12,0#0#0#2#198#945#55#0#0#0#
10,3,13,0#0#0#1#202#890#107#0#0#0#
10,3,14,0#16#55#60#410#618#34#5#2#0#
10,3,15,0#20#52#112#461#529#21#5#0#0#
10,3,16,0#0#0#0#269#889#41#1#0#0#
10,4,1,0#0#0#0#90#830#276#4#0#0#
10,4,2,0#0#0#13#100#984#89#9#4#1#
10,4,3,0#0#1#36#183#862#108#3#6#1#
10,4,4,0#0#0#0#141#927#127#5#0#0#
10,4,5,0#0#0#0#29#966#205#0#0#0#
10,4,6,0#1#4#36#165#792#157#38#7#0#
10,4,7,0#1#5#55#148#736#190#52#13#0#
10,4,8,0#0#0#0#10#986#204#0#0#0#
10,4,9,0#0#0#4#164#990#42#0#0#0#
10,4,10,0#18#104#93#136#831#18#0#0#0#
10,4,11,0#18#103#105#233#694#47#0#0#0#
10,4,12,0#0#0#2#193#953#52#0#0#0#
10,4,13,0#0#0#1#194#900#105#0#0#0#
10,4,14,0#15#56#60#411#620#31#5#2#0#
10,4,15,0#20#52#112#458#532#21#5#0#0#
10,4,16,0#0#0#0#263#896#41#0#0#0#
10,5,1,0#0#0#0#90#830#276#4#0#0#
10,5,2,0#0#0#12#102#982#90#9#4#1#
10,5,3,0#0#1#36#187#857#105#7#6#1#
10,5,4,0#0#0#0#141#927#127#5#0#0#
10,5,5,0#0#0#0#29#959#212#0#0#0#
10,5,6,0#1#4#34#155#794#165#37#10#0#
10,5,7,0#0#4#56#132#735#203#52#18#0#
10,5,8,0#0#0#2#19#973#205#1#0#0#
10,5,9,0#0#0#4#165#988#43#0#0#0#
10,5,10,0#18#104#93#164#793#28#0#0#0#
10,5,11,0#21#103#101#240#689#46#0#0#0#
10,5,12,0#0#0#2#200#943#55#0#0#0#
10,5,13,0#0#0#1#203#895#101#0#0#0#
10,5,14,0#15#56#60#415#615#32#6#1#0#
10,5,15,0#20#52#112#455#534#22#5#0#0#
10,5,16,0#0#0#0#291#864#45#0#0#0#
10,6,1,0#0#0#0#88#832#277#3#0#0#
10,6,2,0#0#0#11#96#977#102#10#4#0#
10,6,3,0#0#3#35#171#868#108#6#9#0#
10,6,4,0#0#0#0#140#929#129#2#0#0#
10,6,5,0#0#0#0#27#966#207#0#0#0#
10,6,6,0#3#1#16#159#806#161#36#17#1#
10,6,7,0#0#7#40#135#747#213#42#16#0#
10,6,8,0#0#0#2#27#961#210#0#0#0#
10,6,9,0#0#0#2#169#996#33#0#0#0#
10,6,10,0#9#110#90#174#792#25#0#0#0#
10,6,11,0#24#105#101#239#683#48#0#0#0#
10,6,12,0#0#0#2#198#949#51#0#0#0#
10,6,13,0#0#0#1#194#931#74#0#0#0#
10,6,14,0#16#58#55#413#616#36#5#1#0#
10,6,15,0#21#51#122#454#520#27#5#0#0#
